tytul;gatunek;wydawca;liczba_graczy;czas_rozgrywki;status
Carcassone;gra strategiczna, gra kafelkowa;Bard;2-5;35;dostepna
Cytadela;gra karciana;Galakta;2-8;30;dostepna
Smoki;gra karciana;Nasza Księgarnia;2-5;15;dostepna
Kruki;gra karciana;Nasza Księgarnia;2;20;dostepna
Sen;gra karciana;Nasza Księgarnia;2-5;20;dostepna
Sowy;gra karciana;Nasza Księgarnia;2-5;20;dostepna
Koty;gra karciana;Nasza Księgarnia;2-7;20;dostepna
Scrabble;gra słowna;Mattel;2-4;45;dostepna
Cezar;gra strategiczna;Nasza Księgarnia;1-2;20;dostepna
Małe epickie podziemia;gra kooperacyjna, dungeon crawler;Galakta;1-4;30;dostepna
Małe epickie podziemia: Opowieści;dodatek;Galakta;1-4;30;dostepna
Basilica;gra strategiczna;Portal Games;2;45;dostepna
Arkana Magii;gra karciana;Portal Games;1-6;30;dostepna
Uno;gra karciana;Mattel;2-10;15;dostepna
Papierowe Podziemia;roll and write, dungeon crawler;Lucky Duck Games;1-8;30;dostepna
Wizard;gra karciana;G3;3-6;45;dostepna
Poprzez wieki;gra karciana;Portal Games;2;20;dostepna
Poprzez wieki: Droga do szaleństwa;dodatek;Portal Games;2;20;dostepna
Wirus;gra karciana;Muduko;2-6;20;dostepna
Wirus 2: Ewolucja;dodatek;Muduko;2-6;20;dostepna
Metro 2033: Przełom;gra strategiczna, gra karciana;Ogry Games;2-5;30;dostepna
Mr Jack: Nowy York;gra strategiczna;Rebel;2;30;dostepna
Hunowie;gra ekonomiczna;Funiverse;2-4;45;dostepna
Warhammer: Podbój;gra karciana, gra pojedynkowa;Galakta;2;30;dostepna
Everdell;gra ekonomiczna;Rebel;1-4;40;dostepna
Wyprawa do El Dorado;gra strategiczna;Nasza Księgarnia;2-4;45;dostepna
Czerwona Katedra;gra euro;Portal Games;1-4;80;dostepna
